Id	Spelling	Transcription	IsKeyComponent
L15S09W04	mössor	 mössor 	0
L16S00W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L16S00W01	visar	 visar 	0
L16S00W02	nio	 nio 	0
L16S00W03	ljusa	 ljusa 	0
L16S00W04	ringar	 ringar 	0
L16S01W00	Jonas	 ʝ ² uː . n a s 	0
L16S01W01	ser	 ser 	0
L16S01W02	två	 två 	0
L16S01W03	lätta	 lätta 	0
L16S01W04	bollar	 bollar 	0
L16S02W00	Bosse	 b ² ʊ sː . e̞ 	0
L16S02W01	flyttar	 flyttar 	0
L16S02W02	tolv	 tolv 	0
L16S02W03	nya	 nya 	0
L16S02W04	dukar	 dukar 	0
